#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:16S_alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:16S_alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:16S_alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.16S_alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:16S_alignment" name="distribution" x="@birthRate.t:16S_alignment">
#            <Gamma id="Gamma.6" name="distr">
#                <parameter estimate="false" id="RealParameter.14" name="alpha" spec="beast.core.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.15" name="beta" spec="beast.core.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="FrequenciesPrior.s:16S_alignment" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:16S_alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.7" name="distr"/>
#        </prior>
#        <prior id="RateACPrior.s:16S_alignment" name="distribution">
#            <parameter id="rateAC.s:16S_alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:16S_alignment" name="distribution">
#            <parameter id="rateAT.s:16S_alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:16S_alignment" name="distribution">
#            <parameter id="rateCG.s:16S_alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:16S_alignment" name="distribution">
#            <parameter id="rateGT.s:16S_alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.5" name="distr">
#                <parameter estimate="false" id="RealParameter.12" name="alpha" spec="beast.core.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.13" name="beta" spec="beast.core.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@16S_alignment" id="treeLikelihood.16S_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:16S_alignment">
#            <siteModel id="SiteModel.s:16S_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:16S_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:16S_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:16S_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:16S_alignment" rateAC="@rateAC.s:16S_alignment" rateAT="@rateAT.s:16S_alignment" rateCG="@rateCG.s:16S_alignment" rateGT="@rateGT.s:16S_alignment" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateAG.s:16S_alignment" lower="0.0" name="rateAG" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <parameter estimate="false" id="rateCT.s:16S_alignment" lower="0.0" name="rateCT" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                    <frequencies frequencies="@freqParameter.s:16S_alignment" id="estimatedFreqs.s:16S_alignment" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:16S_alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:16S_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	rateAC	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-23303.50589670504	-23278.20457673812	-25.30131996692025	-23278.20457673812	1.6082320598816036	-5.702984208887243	0.9485829169224225	1.0	1.0	1.0	1.0	0.25	0.25	0.25	0.25
1000	-16284.848325376073	-16272.871054224845	-11.977271151228985	-16272.871054224845	0.2835829232096044	9.256881743963675	5.554351769083779	1.0	1.029904733556817	1.0	0.8533077169140588	0.25	0.25684533928276104	0.24315466071723899	0.25
2000	-16173.434939026873	-16161.394749157706	-12.04018986916704	-16161.394749157706	0.2899080517645178	8.785209557324663	6.742590047013418	1.0	1.029904733556817	1.0	0.47060787483117233	0.25017532469861753	0.25684533928276104	0.24315466071723899	0.24982467530138244
3000	-16172.449483984054	-16160.272166498678	-12.177317485374296	-16160.272166498678	0.3114810725141398	8.18131435476089	4.2364175349537385	1.0	1.029904733556817	1.0	0.47060787483117233	0.25017532469861753	0.25684533928276104	0.24315466071723899	0.24982467530138244
4000	-16108.550272374112	-16097.502803445128	-11.047468928984877	-16097.502803445128	0.3028593248263071	8.98728593896691	5.468043640165057	1.0	1.166893369448107	1.0	0.2280741876620694	0.25524568948354753	0.25177497449783104	0.24315466071723899	0.24982467530138244
5000	-16091.718757033075	-16080.562303692312	-11.156453340762836	-16080.562303692312	0.2991115986776385	8.344710724600352	4.013285108412164	1.0	1.166893369448107	1.0	0.1812222587360632	0.2583391398505061	0.25177497449783104	0.24006121035028039	0.24982467530138244
6000	-16039.8059900016	-16028.643785375834	-11.162204625764643	-16028.643785375834	0.295689499728842	7.935188368125037	3.6279155006099573	0.8883087999270123	1.166893369448107	0.8422645720469386	0.1812222587360632	0.2583391398505061	0.25177497449783104	0.24006121035028039	0.24982467530138244
7000	-16033.470487434484	-16023.005036651588	-10.46545078289571	-16023.005036651588	0.295689499728842	8.842236039700946	4.474146004531087	0.8883087999270123	1.166893369448107	0.8422645720469386	0.1812222587360632	0.2583391398505061	0.2474986393296916	0.24006121035028039	0.2541010104695219
8000	-16035.460068865448	-16025.103940071607	-10.356128793841766	-16025.103940071607	0.2901689635152555	8.988949102231297	4.734442715027059	0.8883087999270123	1.166893369448107	0.8422645720469386	0.17763338460113304	0.2583391398505061	0.2474986393296916	0.24006121035028039	0.2541010104695219
9000	-16033.900653007408	-16023.637953431906	-10.262699575501722	-16023.637953431906	0.306906992819241	9.022557395400788	5.752521688085352	0.8883087999270123	0.9498719502658529	0.8422645720469386	0.1707502834416016	0.2583391398505061	0.2474986393296916	0.24006121035028039	0.2541010104695219
10000	-16014.09519716764	-16003.931137159114	-10.164060008526135	-16003.931137159114	0.317210009889978	8.34892847935381	4.676955594415204	0.8883087999270123	1.0074512688287278	0.8422645720469386	0.08910089659228006	0.2583391398505061	0.2474986393296916	0.23610256080850142	0.2580596600113009
11000	-15885.202009902096	-15876.588026688873	-8.613983213223872	-15876.588026688873	0.29810877814518233	8.985990289833353	4.436118015305668	0.8883087999270123	1.0074512688287278	0.4993190231938953	0.06319495782373094	0.2583391398505061	0.2474986393296916	0.23610256080850142	0.2580596600113009
12000	-15877.75305686197	-15868.85164056863	-8.90141629334013	-15868.85164056863	0.29566550773172606	8.995158243649593	6.296431516359767	0.8883087999270123	0.9558469903272653	0.4993190231938953	0.06319495782373094	0.2590572270741189	0.2474986393296916	0.23538447358488862	0.2580596600113009
13000	-15863.686429183248	-15855.048486362784	-8.637942820463167	-15855.048486362784	0.2941210421605431	9.074426459131459	5.241717280384081	0.8883087999270123	0.9558469903272653	0.4993190231938953	0.06319495782373094	0.2590572270741189	0.24414817638077305	0.22753605990563	0.269258536639478
14000	-15865.895186939477	-15856.34613142969	-9.54905550978785	-15856.34613142969	0.30464051580329177	7.541931565193561	3.2739789043535352	0.8883087999270123	0.9558469903272653	0.4993190231938953	0.054059716961855526	0.2590572270741189	0.24414817638077305	0.22753605990563	0.269258536639478
15000	-15848.665666545714	-15838.733338810402	-9.932327735313226	-15838.733338810402	0.2947512822354478	8.009542753568656	7.639796728288689	0.8883087999270123	0.9558469903272653	0.4993190231938953	0.054059716961855526	0.26805331774339947	0.23410069520677268	0.22204403049176052	0.2758019565580672
16000	-15780.41374947518	-15769.346298782184	-11.067450692995633	-15769.346298782184	0.30544294055481547	6.985124315047046	8.472799049702692	0.8883087999270123	0.9558469903272653	0.3171366850433953	0.08705429767998439	0.26805331774339947	0.24169097583706772	0.2138074327306643	0.2764482736888684
17000	-15775.426784486468	-15766.797642524924	-8.629141961544	-15766.797642524924	0.2861275388821521	9.058092804603266	5.89283683363685	0.8883087999270123	0.9558469903272653	0.3171366850433953	0.08705429767998439	0.26805331774339947	0.24169097583706772	0.2138074327306643	0.2764482736888684
18000	-15725.926180464627	-15717.969288782393	-7.956891682233538	-15717.969288782393	0.29744981103231793	8.858789180442782	5.944873306848302	0.8883087999270123	0.9558469903272653	0.1280614737912617	0.08705429767998439	0.26805331774339947	0.24169097583706772	0.2138074327306643	0.2764482736888684
19000	-15718.403838884538	-15708.930955009624	-9.472883874914222	-15708.930955009624	0.3070067402918706	7.459328157210568	7.785394049206913	0.8883087999270123	0.9558469903272653	0.10902844402808222	0.08705429767998439	0.2747014505246601	0.2431363366310219	0.21340554256074723	0.2687566702835706
